Domain	Phylum	Class	Order	Family	Genus	Species	Strain
k__Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus_thermophilus	k__Bacteria
k__Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus_thermophilus	Streptococcus_thermophilus_unclassified
k__Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus_tigurinus	k__Bacteria
k__Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus_tigurinus	Streptococcus_tigurinus_unclassified
k__Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus_vestibularis	k__Bacteria
k__Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus_vestibularis	Streptococcus_vestibularis_unclassified
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Butyricicoccus	Butyricicoccus_pullicaecorum	k__Bacteria
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Butyricicoccus	Butyricicoccus_pullicaecorum	GCF_000398925
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridiaceae_noname	Clostridiaceae_bacterium_JC118	k__Bacteria
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridiaceae_noname	Clostridiaceae_bacterium_JC118	GCF_000313565
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium_asparagiforme	k__Bacteria
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium_asparagiforme	GCF_000158075
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium_bolteae	k__Bacteria
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium_bolteae	Clostridium_bolteae_unclassified
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium_bolteae	GCF_000154365
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium_bolteae	GCF_000371665
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium_butyricum	k__Bacteria
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium_butyricum	Clostridium_butyricum_unclassified
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium_celatum	k__Bacteria
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium_celatum	GCF_000320405
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium_citroniae	k__Bacteria
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium_citroniae	GCF_000233455
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium_clostridioforme	k__Bacteria
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium_clostridioforme	Clostridium_clostridioforme_unclassified
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium_clostridioforme	GCF_000371525
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium_hathewayi	k__Bacteria
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium_hathewayi	Clostridium_hathewayi_unclassified
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium_hathewayi	GCF_000160095
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium_hathewayi	GCF_000235505
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium_hathewayi	GCF_000371445
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium_hylemonae	k__Bacteria
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium_hylemonae	GCF_000156515
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium_leptum	k__Bacteria
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium_leptum	GCF_000154345
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium_methylpentosum	k__Bacteria
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium_methylpentosum	GCF_000158655
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium_nexile	k__Bacteria
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium_nexile	GCF_000156035
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium_perfringens	k__Bacteria
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium_perfringens	Clostridium_perfringens_unclassified
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium_scindens	k__Bacteria
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium_scindens	GCF_000154505
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium_sp_ATCC_29733	k__Bacteria
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium_sp_ATCC_29733	GCF_000466605
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium_sp_ATCC_BAA_442	k__Bacteria
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium_sp_ATCC_BAA_442	GCF_000466445
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium_sp_D5	k__Bacteria
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium_sp_D5	GCF_000190355
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium_sp_KLE_1755	k__Bacteria
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium_sp_KLE_1755	GCF_000466465
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium_sp_L2_50	k__Bacteria
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium_sp_L2_50	GCF_000154245
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium_symbiosum	k__Bacteria
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium_symbiosum	Clostridium_symbiosum_unclassified
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_Family_XIII_Incertae_Sedis	Clostridiales_Family_XIII_Incertae_Sedis_noname	Eubacterium_infirmum	k__Bacteria
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_Family_XIII_Incertae_Sedis	Clostridiales_Family_XIII_Incertae_Sedis_noname	Eubacterium_infirmum	GCF_000242675
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_Family_XIII_Incertae_Sedis	Mogibacterium	Mogibacterium_sp_CM50	k__Bacteria
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_Family_XIII_Incertae_Sedis	Mogibacterium	Mogibacterium_sp_CM50	GCF_000293155
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_Family_XI_Incertae_Sedis	Anaerococcus	Anaerococcus_lactolyticus	k__Bacteria
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_Family_XI_Incertae_Sedis	Anaerococcus	Anaerococcus_lactolyticus	GCF_000156575
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_Family_XI_Incertae_Sedis	Anaerococcus	Anaerococcus_obesiensis	k__Bacteria
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_Family_XI_Incertae_Sedis	Anaerococcus	Anaerococcus_obesiensis	GCF_000311745
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_Family_XI_Incertae_Sedis	Anaerococcus	Anaerococcus_prevotii	k__Bacteria
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_Family_XI_Incertae_Sedis	Anaerococcus	Anaerococcus_prevotii	Anaerococcus_prevotii_unclassified
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_Family_XI_Incertae_Sedis	Anaerococcus	Anaerococcus_tetradius	k__Bacteria
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_Family_XI_Incertae_Sedis	Anaerococcus	Anaerococcus_tetradius	GCF_000159095
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_Family_XI_Incertae_Sedis	Anaerococcus	Anaerococcus_vaginalis	k__Bacteria
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_Family_XI_Incertae_Sedis	Anaerococcus	Anaerococcus_vaginalis	GCF_000163295
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_Family_XI_Incertae_Sedis	Clostridiales_Family_XI_Incertae_Sedis_noname	Clostridiales_bacterium_BV3C26	k__Bacteria
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_Family_XI_Incertae_Sedis	Clostridiales_Family_XI_Incertae_Sedis_noname	Clostridiales_bacterium_BV3C26	GCF_000478985
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_Family_XI_Incertae_Sedis	Finegoldia	Finegoldia_magna	k__Bacteria
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_Family_XI_Incertae_Sedis	Finegoldia	Finegoldia_magna	Finegoldia_magna_unclassified
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_Family_XI_Incertae_Sedis	Parvimonas	Parvimonas_micra	k__Bacteria
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_Family_XI_Incertae_Sedis	Parvimonas	Parvimonas_micra	GCF_000154405
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_Family_XI_Incertae_Sedis	Parvimonas	Parvimonas_unclassified	k__Bacteria
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_Family_XI_Incertae_Sedis	Peptoniphilus	Peptoniphilus_duerdenii	k__Bacteria
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_Family_XI_Incertae_Sedis	Peptoniphilus	Peptoniphilus_duerdenii	GCF_000146345
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_Family_XI_Incertae_Sedis	Peptoniphilus	Peptoniphilus_harei	k__Bacteria
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_Family_XI_Incertae_Sedis	Peptoniphilus	Peptoniphilus_harei	GCF_000183565
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_Family_XI_Incertae_Sedis	Peptoniphilus	Peptoniphilus_lacrimalis	k__Bacteria
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_Family_XI_Incertae_Sedis	Peptoniphilus	Peptoniphilus_lacrimalis	Peptoniphilus_lacrimalis_unclassified
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_Family_XI_Incertae_Sedis	Peptoniphilus	Peptoniphilus_sp_JC140	k__Bacteria
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_Family_XI_Incertae_Sedis	Peptoniphilus	Peptoniphilus_sp_JC140	GCF_000321025
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_noname	Clostridiales_noname	Clostridiales_bacterium_1_7_47FAA	k__Bacteria
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_noname	Clostridiales_noname	Clostridiales_bacterium_1_7_47FAA	GCF_000155435
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_noname	Clostridiales_noname	Clostridiales_genomosp_BVAB3	k__Bacteria
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_noname	Clostridiales_noname	Clostridiales_genomosp_BVAB3	GCF_000025225
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_noname	Flavonifractor	Flavonifractor_plautii	k__Bacteria
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_noname	Flavonifractor	Flavonifractor_plautii	GCF_000239295
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_noname	Pseudoflavonifractor	Pseudoflavonifractor_capillosus	k__Bacteria
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_noname	Pseudoflavonifractor	Pseudoflavonifractor_capillosus	GCF_000169255
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Anaerofustis	Anaerofustis_stercorihominis	k__Bacteria
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Anaerofustis	Anaerofustis_stercorihominis	GCF_000154825
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	Eubacterium_brachy	k__Bacteria
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	Eubacterium_brachy	GCF_000488855
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	Eubacterium_eligens	k__Bacteria
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	Eubacterium_eligens	GCF_000146185
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	Eubacterium_hallii	k__Bacteria
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	Eubacterium_hallii	GCF_000173975
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	Eubacterium_limosum	k__Bacteria
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	Eubacterium_limosum	GCF_000152245
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	Eubacterium_ramulus	k__Bacteria
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	Eubacterium_ramulus	GCF_000469345
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	Eubacterium_rectale	k__Bacteria
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	Eubacterium_rectale	Eubacterium_rectale_unclassified
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	Eubacterium_rectale	GCF_000209955
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	Eubacterium_saphenum	k__Bacteria
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	Eubacterium_saphenum	GCF_000161975
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	Eubacterium_siraeum	k__Bacteria
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	Eubacterium_siraeum	Eubacterium_siraeum_unclassified
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	Eubacterium_siraeum	GCF_000209915
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	Eubacterium_siraeum	GCF_000210635
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	Eubacterium_sp_3_1_31	k__Bacteria
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	Eubacterium_sp_3_1_31	Eubacterium_sp_3_1_31_unclassified
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	Eubacterium_ventriosum	k__Bacteria
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	Eubacterium_ventriosum	GCF_000153885
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Pseudoramibacter	Pseudoramibacter_alactolyticus	k__Bacteria
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Pseudoramibacter	Pseudoramibacter_alactolyticus	GCF_000185505
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Anaerostipes	Anaerostipes_caccae	k__Bacteria
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Anaerostipes	Anaerostipes_caccae	GCF_000154305
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Anaerostipes	Anaerostipes_hadrus	k__Bacteria
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Anaerostipes	Anaerostipes_hadrus	GCF_000332875
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Anaerostipes	Anaerostipes_sp_3_2_56FAA	k__Bacteria
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Anaerostipes	Anaerostipes_sp_3_2_56FAA	GCF_000185825
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Anaerostipes	Anaerostipes_unclassified	k__Bacteria
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	Blautia_hansenii	k__Bacteria
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	Blautia_hansenii	GCF_000156675
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	Blautia_hydrogenotrophica	k__Bacteria
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	Blautia_hydrogenotrophica	GCF_000157975
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	Blautia_producta	k__Bacteria
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	Blautia_producta	GCF_000373885
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	Ruminococcus_gnavus	k__Bacteria
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	Ruminococcus_gnavus	Ruminococcus_gnavus_unclassified
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	Ruminococcus_obeum	k__Bacteria
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	Ruminococcus_obeum	GCF_000153905
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	Ruminococcus_obeum	GCF_000210015
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	Ruminococcus_obeum	Ruminococcus_obeum_unclassified
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	Ruminococcus_torques	k__Bacteria
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	Ruminococcus_torques	GCF_000210035
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	Ruminococcus_torques	Ruminococcus_torques_unclassified
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Butyrivibrio	Butyrivibrio_crossotus	k__Bacteria
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Butyrivibrio	Butyrivibrio_crossotus	GCF_000156015
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus	Coprococcus_catus	k__Bacteria
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus	Coprococcus_catus	GCF_000210555
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus	Coprococcus_comes	k__Bacteria
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus	Coprococcus_comes	GCF_000155875
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus	Coprococcus_eutactus	k__Bacteria
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus	Coprococcus_eutactus	GCF_000154425
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus	Coprococcus_sp_ART55_1	k__Bacteria
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus	Coprococcus_sp_ART55_1	GCF_000210595
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Dorea	Dorea_formicigenerans	k__Bacteria
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Dorea	Dorea_formicigenerans	Dorea_formicigenerans_unclassified
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Dorea	Dorea_formicigenerans	GCF_000225745
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Dorea	Dorea_longicatena	k__Bacteria
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Dorea	Dorea_longicatena	GCF_000154065
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Dorea	Dorea_unclassified	k__Bacteria
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Johnsonella	Johnsonella_ignava	k__Bacteria
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Johnsonella	Johnsonella_ignava	GCF_000235445
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnoanaerobaculum	Lachnoanaerobaculum_saburreum	k__Bacteria
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnoanaerobaculum	Lachnoanaerobaculum_saburreum	Lachnoanaerobaculum_saburreum_unclassified
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae_noname	Lachnospiraceae_bacterium_1_1_57FAA	k__Bacteria
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae_noname	Lachnospiraceae_bacterium_1_1_57FAA	GCF_000218445
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae_noname	Lachnospiraceae_bacterium_1_4_56FAA	k__Bacteria
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae_noname	Lachnospiraceae_bacterium_1_4_56FAA	GCF_000218385
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae_noname	Lachnospiraceae_bacterium_2_1_46FAA	k__Bacteria
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae_noname	Lachnospiraceae_bacterium_2_1_46FAA	GCF_000209385
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae_noname	Lachnospiraceae_bacterium_2_1_58FAA	k__Bacteria
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae_noname	Lachnospiraceae_bacterium_2_1_58FAA	GCF_000218465
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae_noname	Lachnospiraceae_bacterium_3_1_46FAA	k__Bacteria
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae_noname	Lachnospiraceae_bacterium_3_1_46FAA	GCF_000209405
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae_noname	Lachnospiraceae_bacterium_3_1_57FAA_CT1	k__Bacteria
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae_noname	Lachnospiraceae_bacterium_3_1_57FAA_CT1	GCF_000218405
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae_noname	Lachnospiraceae_bacterium_4_1_37FAA	k__Bacteria
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae_noname	Lachnospiraceae_bacterium_4_1_37FAA	GCF_000191805
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae_noname	Lachnospiraceae_bacterium_5_1_57FAA	k__Bacteria
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae_noname	Lachnospiraceae_bacterium_5_1_57FAA	GCF_000218425
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae_noname	Lachnospiraceae_bacterium_5_1_63FAA	k__Bacteria
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae_noname	Lachnospiraceae_bacterium_5_1_63FAA	GCF_000185525
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae_noname	Lachnospiraceae_bacterium_6_1_63FAA	k__Bacteria
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae_noname	Lachnospiraceae_bacterium_6_1_63FAA	GCF_000209425
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae_noname	Lachnospiraceae_bacterium_7_1_58FAA	k__Bacteria
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae_noname	Lachnospiraceae_bacterium_7_1_58FAA	GCF_000242155
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae_noname	Lachnospiraceae_bacterium_8_1_57FAA	k__Bacteria
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae_noname	Lachnospiraceae_bacterium_8_1_57FAA	GCF_000185545
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae_noname	Lachnospiraceae_bacterium_9_1_43BFAA	k__Bacteria
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae_noname	Lachnospiraceae_bacterium_9_1_43BFAA	GCF_000209445
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae_noname	Lachnospiraceae_bacterium_ICM7	k__Bacteria
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae_noname	Lachnospiraceae_bacterium_ICM7	GCF_000287675
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae_noname	Lachnospiraceae_bacterium_oral_taxon_082	k__Bacteria
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae_noname	Lachnospiraceae_bacterium_oral_taxon_082	GCF_000242315
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae_noname	Lachnospiraceae_oral_taxon_107	k__Bacteria
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae_noname	Lachnospiraceae_oral_taxon_107	GCF_000209465
k__Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Marvinbryantia	Marvinbryantia_formatexigens	k__Bacteria
